condition,horizon,n,winrate,mean_bps,median_bps,std_bps,net_exp,avg_win,avg_loss,kelly,t_stat,p_value,is_significant,sharpe,low_n,consistency,regime
behavior = LONG_BUILDUP,5,1999,50.3751875937969,-0.04043702548185448,0.014661509724067656,4.066455122404113,-0.6404370254818544,2.498238769585366,-2.6175000553535184,0.0,-0.4444889407993667,0.6566891688698671,False,-0.009944048136438764,False,5.808444015225991,NOISE
behavior = LONG_BUILDUP,15,1999,49.92496248124062,-0.17954908993557325,0.0,7.226072394117764,-0.7795490899355733,4.486349254212496,-4.8314637227625195,0.0,-1.1106536339852329,0.26671755363345784,False,-0.024847397056488325,False,5.808444015225991,NOISE
behavior = LONG_BUILDUP,60,1999,47.073536768384194,-1.2885919905969658,-0.5709880948989721,13.593714678017305,-1.8885919905969657,8.216658303416413,-9.742694567786558,0.0,-4.237161518327391,2.2651231524228876e-05,True,-0.09479322033150926,False,5.808444015225991,NOISE
behavior = SHORT_BUILDUP,5,2118,43.48441926345609,-0.23247029090680899,-0.014761953079367451,4.351475460733209,-0.8324702909068089,2.6144255309221975,-2.422939005948175,0.0,-2.458053602910263,0.013969243510002727,True,-0.053423325721257436,False,2.0874226618154372,NOISE
behavior = SHORT_BUILDUP,15,2118,44.19263456090651,-0.5921953874178514,-0.3408854276659712,7.263979087154499,-1.1921953874178515,4.429258136589591,-4.568574827748617,0.0,-3.751032821042344,0.00017616212847193502,True,-0.08152493011235123,False,2.0874226618154372,NOISE
behavior = SHORT_BUILDUP,60,2118,48.20585457979226,-0.9637722827677385,-0.38484298948815443,13.450087541071106,-1.5637722827677385,8.375598581619062,-9.656112895838772,0.0,-3.296930181323704,0.0009775951469528366,True,-0.07165546542539365,False,2.0874226618154372,NOISE
BULL: score>40 + LONG,5,372,52.41935483870967,0.11231850770465554,0.03772346590991127,4.60311832625335,-0.4876814922953444,3.0494876739988523,-3.123545828043189,0.03683192710117425,0.46998731949836303,0.638364096113432,False,0.02440052584876213,False,-1.0,MEAN_REVERT
BULL: score>40 + LONG,15,372,48.11827956989247,-0.6332038825040726,-0.052495669557450775,8.266300563759929,-1.2332038825040725,5.329703283723386,-6.163568559989644,0.0,-1.4754324525497935,0.14009638416162185,False,-0.07660063623624878,False,-1.0,MEAN_REVERT
BULL: score>40 + LONG,60,372,44.354838709677416,-3.5477482170533348,-1.0907814580590758,14.77856897986553,-4.147748217053334,8.000019285757093,-12.752490429438456,0.0,-4.6238885983885565,3.7701318857941146e-06,True,-0.2400603347920101,False,-1.0,MEAN_REVERT
BEAR: score<-40 + SHORT,5,115,42.608695652173914,0.1110394914687437,-0.4064734663145053,6.808095657371872,-0.4889605085312563,3.9749636638486865,-2.757631484995153,0.02793471861859278,0.17414228576441712,0.8617536429247887,False,0.016309919404335786,True,5.904029468316834,TRENDING
BEAR: score<-40 + SHORT,15,115,50.43478260869565,1.1584866259544717,0.059911091938591454,11.398888192117361,0.5584866259544717,6.63419604705579,-4.413287872710029,0.17462351394764689,1.085127966059119,0.2778650542131458,False,0.1016315456761473,True,5.904029468316834,TRENDING
BEAR: score<-40 + SHORT,60,115,55.65217391304348,1.5929764681407699,1.2861794040808228,16.196847777820228,0.9929764681407699,11.224289003624843,-10.493376517564734,0.14192226052147475,1.0501015158810392,0.2936714902236437,False,0.09835101804946102,True,5.904029468316834,TRENDING
BULL: score>40 + WATCH_LONG,5,1809,53.565505804311776,0.33642755893247656,0.11937714972098945,3.512794074667085,-0.2635724410675234,2.232127756066057,-1.8503980256180466,0.15072056606894346,4.07228426245115,4.657856567913399e-05,True,0.09577206969194757,False,-1.0,MEAN_REVERT
BULL: score>40 + WATCH_LONG,15,1809,49.585406301824214,0.11536530283169631,0.0,6.15113118347011,-0.48463469716830365,3.9429116270085323,-3.649227956802758,0.029258911622937693,0.7974793281123854,0.42517257245890683,False,0.018755136151496273,False,-1.0,MEAN_REVERT
BULL: score>40 + WATCH_LONG,60,1807,47.537354731599336,-0.5326940921922778,-0.29715562634424764,11.391995354159912,-1.1326940921922777,7.074242793635411,-7.425477620595215,0.0,-1.9871788403037642,0.04690244153335987,True,-0.046760385308422615,False,-1.0,MEAN_REVERT
BEAR: score<-40 + WATCH_SHORT,5,1706,36.45955451348183,-0.49848400632381107,-0.2866823412300823,3.1390078232944836,-1.098484006323811,1.7999365881504925,-1.817319439684528,0.0,-6.557239136404551,5.509237510636922e-11,True,-0.15880304681771612,False,0.7839273959394706,NOISE
BEAR: score<-40 + WATCH_SHORT,15,1706,44.607268464243845,-0.44527531538082415,-0.28194805339498696,5.693347609750962,-1.045275315380824,3.1066119768536167,-3.3055782036246435,0.0,-3.229409443627017,0.0012405868097888906,True,-0.07820975389210451,False,0.7839273959394706,NOISE
BEAR: score<-40 + WATCH_SHORT,60,1706,49.12075029308324,-0.3003823350877853,-0.07461529365371256,9.565065608825877,-0.9003823350877853,5.904259687493321,-6.290578204814705,0.0,-1.2967272202247038,0.19472518981008324,False,-0.03140410608481519,False,0.7839273959394706,NOISE
